ID,NOMBRE ESTADO,SIGLADO,ID DTTO,CABECERA,ORIGEN PARTIDARIO,GRUPO
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
173,VERACRUZ,MORENA,14,MINATITLÁN,MORENA,MORENA
174,VERACRUZ,MORENA,15,ORIZABA,MORENA,MORENA
175,VERACRUZ,MORENA,16,CÓRDOBA,MORENA,MORENA
176,VERACRUZ,MORENA,17,COSAMALOAPAN,MORENA,MORENA
177,VERACRUZ,PVEM,18,ZONGOLICA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
178,VERACRUZ,MORENA,19,SAN ÁNDRES,MORENA,MORENA
,,,,TUXTLA,,
179,YUCATÁN,PVEM,2,PROGRESO,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
180,YUCATÁN,PVEM,5,TICUL,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
181,ZACATECAS,MORENA,1,FRESNILLO,MORENA,MORENA
182,ZACATECAS,PVEM,2,JERÉZ DE GARCÍA,PARTIDO VERDE,PARTIDO VERDE
,,,,SALINAS,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
183,ZACATECAS,PT,3,ZACATECAS,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
